tag,itens,categoria,modelo,serial,marca,valor,data_compra,fornecedor,po,nota_fiscal,uso,qtd,prateleira,rua,setor,local,box,conferido
IMP2508210115100,up2719h,tv e monitor,,AUTO0217,,0.0,2025-08-21 01:15:44.741695,,PO-IMP-20250821,NF-IMP2508210115,Geral,1,A Definir,A Definir,Geral,HQ1 - 8º Andar,,False
IMP2508210115101,up2719h,tv e monitor,,AUTO0217,,0.0,2025-08-21 01:15:44.741695,,PO-IMP-20250821,NF-IMP2508210115,Geral,1,A Definir,A Definir,Geral,HQ1 - 8º Andar,,False
IMP2508210115102,up2719h,tv e monitor,,AUTO0217,,0.0,2025-08-21 01:15:44.741695,,PO-IMP-20250821,NF-IMP2508210115,Geral,1,A Definir,A Definir,Geral,HQ1 - 8º Andar,,False
IMP2508210115103,up2719h,tv e monitor,,AUTO0217,,0.0,2025-08-21 01:15:44.741695,,PO-IMP-20250821,NF-IMP2508210115,Geral,1,A Definir,A Definir,Geral,HQ1 - 8º Andar,,False
IMP2508210115104,up2719h,tv e monitor,,AUTO0217,,0.0,2025-08-21 01:15:44.741695,,PO-IMP-20250821,NF-IMP2508210115,Geral,1,A Definir,A Definir,Geral,HQ1 - 8º Andar,,False
IMP2508210115105,up2719h,tv e monitor,,AUTO0217,,0.0,2025-08-21 01:15:44.741695,,PO-IMP-20250821,NF-IMP2508210115,Geral,1,A Definir,A Definir,Geral,HQ1 - 8º Andar,,False
IMP2508210115106,up2719h,tv e monitor,,AUTO0217,,0.0,2025-08-21 01:15:44.741695,,PO-IMP-20250821,NF-IMP2508210115,Geral,1,A Definir,A Definir,Geral,HQ1 - 8º Andar,,False
IMP2508210115107,up2719h,tv e monitor,,AUTO0217,,0.0,2025-08-21 01:15:44.741695,,PO-IMP-20250821,NF-IMP2508210115,Geral,1,A Definir,A Definir,Geral,HQ1 - 8º Andar,,False
IMP2508210115108,up2719h,tv e monitor,,AUTO0217,,0.0,2025-08-21 01:15:44.741695,,PO-IMP-20250821,NF-IMP2508210115,Geral,1,A Definir,A Definir,Geral,HQ1 - 8º Andar,,False
IMP2508210115109,up2719h,tv e monitor,,AUTO0217,,0.0,2025-08-21 01:15:44.741695,,PO-IMP-20250821,NF-IMP2508210115,Geral,1,A Definir,A Definir,Geral,HQ1 - 8º Andar,,False
IMP2508210115110,up2719h,tv e monitor,,AUTO0217,,0.0,2025-08-21 01:15:44.741695,,PO-IMP-20250821,NF-IMP2508210115,Geral,1,A Definir,A Definir,Geral,HQ1 - 8º Andar,,False
IMP2508210115111,up2719h,tv e monitor,,AUTO0217,,0.0,2025-08-21 01:15:44.741695,,PO-IMP-20250821,NF-IMP2508210115,Geral,1,A Definir,A Definir,Geral,HQ1 - 8º Andar,,False
IMP2508210115112,up2719h,tv e monitor,,AUTO0217,,0.0,2025-08-21 01:15:44.741695,,PO-IMP-20250821,NF-IMP2508210115,Geral,1,A Definir,A Definir,Geral,HQ1 - 8º Andar,,False
IMP2508210115113,up2719h,tv e monitor,,AUTO0217,,0.0,2025-08-21 01:15:44.741695,,PO-IMP-20250821,NF-IMP2508210115,Geral,1,A Definir,A Definir,Geral,HQ1 - 8º Andar,,False
IMP2508210115114,up2719h,tv e monitor,,AUTO0217,,0.0,2025-08-21 01:15:44.741695,,PO-IMP-20250821,NF-IMP2508210115,Geral,1,A Definir,A Definir,Geral,HQ1 - 8º Andar,,False
IMP2508210115115,up2719h,tv e monitor,,AUTO0217,,0.0,2025-08-21 01:15:44.741695,,PO-IMP-20250821,NF-IMP2508210115,Geral,1,A Definir,A Definir,Geral,HQ1 - 8º Andar,,False
IMP2508210115116,up2719h,tv e monitor,,AUTO0217,,0.0,2025-08-21 01:15:44.741695,,PO-IMP-20250821,NF-IMP2508210115,Geral,1,A Definir,A Definir,Geral,HQ1 - 8º Andar,,False
IMP2508210115117,up2719h,tv e monitor,,AUTO0217,,0.0,2025-08-21 01:15:44.741695,,PO-IMP-20250821,NF-IMP2508210115,Geral,1,A Definir,A Definir,Geral,HQ1 - 8º Andar,,False
IMP2508210115118,up2719h,tv e monitor,,AUTO0217,,0.0,2025-08-21 01:15:44.741695,,PO-IMP-20250821,NF-IMP2508210115,Geral,1,A Definir,A Definir,Geral,HQ1 - 8º Andar,,False
IMP2508210115119,up2719h,tv e monitor,,AUTO0217,,0.0,2025-08-21 01:15:44.741695,,PO-IMP-20250821,NF-IMP2508210115,Geral,1,A Definir,A Definir,Geral,HQ1 - 8º Andar,,False
IMP2508210115120,up2719h,tv e monitor,,AUTO0217,,0.0,2025-08-21 01:15:44.741695,,PO-IMP-20250821,NF-IMP2508210115,Geral,1,A Definir,A Definir,Geral,HQ1 - 8º Andar,,False
IMP2508210115121,up2719h,tv e monitor,,AUTO0217,,0.0,2025-08-21 01:15:44.741695,,PO-IMP-20250821,NF-IMP2508210115,Geral,1,A Definir,A Definir,Geral,HQ1 - 8º Andar,,False
IMP2508210115122,up2719h,tv e monitor,,AUTO0217,,0.0,2025-08-21 01:15:44.741695,,PO-IMP-20250821,NF-IMP2508210115,Geral,1,A Definir,A Definir,Geral,HQ1 - 8º Andar,,False
